evidence_id,claim,value,evidence_type,source,source_table,source_section,confidence,notes,gene,cell_type,interactor,direction,quantitative_value,quantitative_metric
AD-01,ANK2 is an exome-wide significant rare-variant risk gene for ADHD identified via combined iPSYCH+gnomAD rare-coding burden testing.,P(final) combined class I+II meta-analysis = 2.27307199679582e-06; OR(combined class I c1) = 5.54769260336939; pLI = 1.0. Main text abstract reports P = 2.72e-6 (discrepancy with exact ST4 value).,genetic,Demontis et al. 2025 (Nature 649): main text + Supplementary Table 4,Supplementary Table 4 (Top 20 ADHD rare-variant risk genes),Results (Gene discovery) / Abstract,high,Exact ST4 P(final) = 2.273e-06; main text displays P=2.72e-06. Preserve exact ST4 value; discrepancy documented in docs/decisions.md. ST4 also reports pLI=1.0; 16/20 top genes are constrained.,ANK2,,,positive,2.27307199679582e-06,P(final) combined class I+II gene burden
AD-02,ANK2 rare-variant burden is driven by class I variants (rPTVs: protein-truncating variants),11 iPSYCH ADHD cases / 12 combined controls (iPSYCH+gnomAD); P(combined c1) = 1.2035297803548e-04; OR(combined c1) = 5.54769260336939.,variant-class,Demontis 2025: main text states ANK2 signal derived from both class I and class II; exact counts/Ps from ST4,Supplementary Table 4,Results (Gene discovery),high,Class I (rPTV) drives ANK2 association; MAP1A and ANO8 were driven entirely by class I only. OR~5.5 for rare PTV in constrained gene (pLI=1).,ANK2,,,positive,1.2035297803548e-04,P(combined c1) class I burden
AD-03,ANK2 rare-variant burden is also driven by class II variants (rModerateDMVs: moderately damaging missense variants),3 iPSYCH ADHD cases / 0 combined controls; P(combined c2) = 0.00285778222177253; OR(combined c2) = Inf (zero control carriers).,variant-class,Demontis 2025: main text explicitly distinguishes ANK2 from MAP1A/ANO8 (class I only); ST4 provides counts/P/OR.,Supplementary Table 4,Results (Gene discovery),high,Zero control carriers → OR = Inf. This mixed class I+class II architecture is unique to ANK2 among the three genes.,ANK2,,,positive,0.00285778222177253,P(combined c2) class II burden
AD-04,ANK2 is a known rare-variant risk gene for autism spectrum disorder (ASD) and broader neurodevelopmental disorders (NDD).,ASD_FDR0.05 = 1 (significant); NDD_FDR0.05 = 1 (significant).,genetic,Demontis 2025: ST4 FDR flags + main text Results/Discussion: 'consistent with ANK2 being a known rare-variant risk gene in autism'; '9 [of top-20 ADHD genes] have been implicated with autism and/or other neurodevelopmental disorders (FDR < 5%)',Supplementary Table 4 (ASD_FDR0.05 + NDD_FDR0.05 columns),Results/Discussion (cross-disorder gene-list overlap),high,"Classified as 'genetic' (not phenotype): the ST4 ASD_FDR0.05/NDD_FDR0.05 flags record gene-level membership of ANK2 in published ASD and NDD rare-variant risk-gene lists (binary FDR<0.05 membership from prior exome-sequencing studies); they are gene-level cross-disorder genetic annotation, not a carrier-phenotype observation (carrier phenotypes are AD-05/AD-06). Not an independent discovery of this study.",ANK2,,,positive,ASD_FDR0.05=1 / NDD_FDR0.05=1,binary FDR list membership
AD-05,"The ADHD rare-variant ANK2 signal was driven mainly by individuals with ADHD plus co-occurring autism or intellectual disability (ID), consistent with ANK2 being a known ASD risk gene.",Qualitative statement; no exact proportion reported in the accessible text.,phenotype,Demontis 2025: main text Discussion,Main text Discussion,Discussion,medium,Exact proportion not provided in accessible main text or Supplementary Information; directional claim only.,ANK2,,,positive,,qualitative author statement
AD-06,"Among individuals carrying rare class I variants in ANK2, phenotype breakdown shows majority ADHD-only, with a minority having ADHD+ID or ADHD+ASD+SZ+ID.",Total ANK2 class I carriers = 11: 1 control (0_0_0_0); 7 ADHD-only (1_0_0_0); 2 ADHD+ID (1_0_0_1); 1 ADHD+ASD+SZ+ID (1_1_1_1).,phenotype,"Demontis 2025: Supplementary Information (Phenotype of individuals with class I variants), Supplementary Figure 5",Supplementary Figure 5,Supplementary Information (carrier phenotype breakdown),low,"Counts read directly from figure bars and labels; the phenotype partition is a visual estimate from Supplementary Figure 5, not a reported statistic in the text, so confidence downgraded to low. Among the 11 ANK2 class I carriers shown in Supp Fig. 5, 3 had ASD/SZ/ID comorbidity. AD-05 states signal 'driven mainly by ADHD+ASD/ID' at the statistical level; this figure shows carrier phenotype counts.",ANK2,,,positive,11 carriers total (1 control + 7 ADHD-only + 2 ADHD+ID + 1 ADHD+ASD+SZ+ID),carrier count by phenotype
AD-07,Top 20 ADHD rare-variant risk genes are enriched for the DisGeNET 'Channelopathies' gene set; ANK2 is among the overlapping genes.,4/55 genes overlap; raw P = 2.40E-07; corrected P = 2.43E-04; overlapping genes: UBE2S; KCNA2; ANK2; CACNA1D.,genetic,"Demontis 2025: Supplementary Table 11 (Enrichment analyses: Top 20 ADHD risk genes, Channelopathies row)",Supplementary Table 11 (Enrichment analyses),Results (Linking ADHD risk genes to biology),high,"Classified as 'genetic' (not PPI): ST11 row 4 has INPUT gene set = 'Top 20 ADHD rare variant risk genes' (the ADHD rare-variant gene-discovery set), NOT the ANK2 PPI network; the ANK2 PPI-union enrichments are separate ST11 rows ('ANK2 Union'). Main text: 'the top 20 ADHD risk genes were enriched ... among genes involved in channelopathies (P = 2.4 × 10−7)', interpreted as neuronal synaptic channelopathies being involved in ADHD. ANK2 is one of 4 overlapping members.",ANK2,,Channelopathies (DisGeNET),positive,2.43E-04,corrected enrichment P (top 20 ADHD risk genes in Channelopathies)
AD-08,ANK2 PPI-union network (NPC + ExN; 158 genes total) is enriched for actin cytoskeleton (GO:0015629).,51 overlapping genes out of 517 in term; raw P = 1.78e-42; corrected P = 2.77e-39.,PPI,Demontis 2025: Supplementary Table 11 (ANK2 Union GO enrichment rows); main text (reports corrected P = 2.77e-39),Supplementary Table 11 (ANK2 Union),Results (Linking ADHD risk genes to biology),high,Union = NPC+ExN combined network. Corrected P matches protocol §5 value exactly.,ANK2,NPC; ExN (union),,positive,2.77e-39,corrected enrichment P (actin cytoskeleton)
AD-09,ANK2 PPI-union network is enriched for cell junction annotation (GO:0030054).,78 overlapping genes out of 2241 in term; raw P = 7.51e-34; corrected P = 1.17e-30.,PPI,Demontis 2025: Supplementary Table 11; main text (reports corrected P = 1.17e-30),Supplementary Table 11 (ANK2 Union),Results (Linking ADHD risk genes to biology),high,Corrected P matches protocol §5 value exactly.,ANK2,NPC; ExN (union),,positive,1.17e-30,corrected enrichment P (cell junction)
AD-10,ANK2 PPI-union network is enriched for synaptic annotations: 44.30% of union genes map to SynGO; significant enrichment for synapse GO term.,70/158 ANK2 union genes (44.30%) mapped to SynGO synaptic annotations; GO:0045202 synapse: 67/1478; raw P = 8.44552848844588e-31; corrected P = 1.5201951279202584e-29.,PPI,Demontis 2025: Supplementary Table 11 (SynGO section: ANK2 Union GO:0045202); main text (reports 44.30%),Supplementary Table 11 (SynGO enrichment),Results (Linking ADHD risk genes to biology),high,"70/158 = 44.30% (rounded) matches main text value. Additional enrichments in ST11 SynGO section: presynapse P=1.95e-14, postsynapse P=1.35e-25, and others.",ANK2,NPC; ExN (union),,positive,1.5201951279202584e-29,corrected enrichment P (synapse GO:0045202)
