gene,cell_type,ank2_region,region_start,region_end,mapped_feature,confidence,source,note
ABLIM1,NPC,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
ACTA1,NPC,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
ACTB,Both,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
ACTBL2,Both,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
ACTG2,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
ADD1,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
ADGRV1,NPC,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
AFAP1,NPC,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
ARHGAP21,NPC,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
ARPC1A,NPC,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
