feature_type,feature,start,end,source,access_date,boundary_confidence
Repeat,ANK 1,30,62,UniProt,2026-09-16,high (InterPro/Pfam corroborated)
Repeat,ANK 2,63,92,UniProt,2026-09-16,high (InterPro/Pfam corroborated)
Repeat,ANK 3,96,125,UniProt,2026-09-16,high (InterPro/Pfam corroborated)
Repeat,ANK 4,129,158,UniProt,2026-09-16,high (InterPro/Pfam corroborated)
Repeat,ANK 5,162,191,UniProt,2026-09-16,high (InterPro/Pfam corroborated)
Repeat,ANK 6,193,220,UniProt,2026-09-16,high (InterPro/Pfam corroborated)
Repeat,ANK 7,232,261,UniProt,2026-09-16,high (InterPro/Pfam corroborated)
Repeat,ANK 8,265,294,UniProt,2026-09-16,high (InterPro/Pfam corroborated)
Repeat,ANK 9,298,327,UniProt,2026-09-16,high (InterPro/Pfam corroborated)
Repeat,ANK 10,331,360,UniProt,2026-09-16,high (InterPro/Pfam corroborated)
Repeat,ANK 11,364,393,UniProt,2026-09-16,high (InterPro/Pfam corroborated)
Repeat,ANK 12,397,426,UniProt,2026-09-16,high (InterPro/Pfam corroborated)
Repeat,ANK 13,430,459,UniProt,2026-09-16,high (InterPro/Pfam corroborated)
Repeat,ANK 14,463,492,UniProt,2026-09-16,high (InterPro/Pfam corroborated)
Repeat,ANK 15,496,525,UniProt,2026-09-16,high (InterPro/Pfam corroborated)
Repeat,ANK 16,529,558,UniProt,2026-09-16,high (InterPro/Pfam corroborated)
Repeat,ANK 17,562,591,UniProt,2026-09-16,high (InterPro/Pfam corroborated)
Repeat,ANK 18,595,624,UniProt,2026-09-16,high (InterPro/Pfam corroborated)
Repeat,ANK 19,628,657,UniProt,2026-09-16,high (InterPro/Pfam corroborated)
Repeat,ANK 20,661,690,UniProt,2026-09-16,high (InterPro/Pfam corroborated)
Repeat,ANK 21,694,723,UniProt,2026-09-16,high (InterPro/Pfam corroborated)
Repeat,ANK 22,727,756,UniProt,2026-09-16,high (InterPro/Pfam corroborated)
Repeat,ANK 23,760,789,UniProt,2026-09-16,high (InterPro/Pfam corroborated)
Repeat,ANK 24,793,822,UniProt,2026-09-16,"lower (terminal repeat, superfamily-only in InterPro)"
Domain,ZU5 1,968,1156,UniProt,2026-09-16,high (InterPro/Pfam corroborated)
Domain,ZU5 2,1158,1304,UniProt,2026-09-16,high (InterPro/Pfam corroborated)
Domain,Death 1,1450,1535,UniProt,2026-09-16,lower (UniProt-only; no Pfam/InterPro death-domain corroboration)
Repeat,Repeat A,1806,1817,UniProt,2026-09-16,lower (UniProt tandem repeats; no Pfam/InterPro specific signature)
Repeat,Repeat A,1818,1829,UniProt,2026-09-16,lower (UniProt tandem repeats; no Pfam/InterPro specific signature)
