gene,cell_type,union_bait,union_nBait,npc_bait,npc_nBait,exn_bait,exn_nBait,ADHD_20,ADHD_GWAS,ASD_72,ASD_185,DD_309,DD_477,NDD_373,NDD_664,SCZ_10,SCZ_32,fc_fdr_source
ABLIM1,NPC,ANK2,1,ANK2,1,NA,0,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
ACTA1,NPC,ANK2,1,ANK2,1,NA,0,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
ACTB,Both,ANK2,1,ANK2,1,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
ACTBL2,Both,ANK2,1,ANK2,1,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
ACTG2,ExN,ANK2,1,NA,0,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
ADD1,ExN,ANK2,1,NA,0,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
ADGRV1,NPC,ANK2,1,ANK2,1,NA,0,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
AFAP1,NPC,ANK2,1,ANK2,1,NA,0,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
ARHGAP21,NPC,ANK2,1,ANK2,1,NA,0,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
ARPC1A,NPC,ANK2,1,ANK2,1,NA,0,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
ARPC5L,NPC,ANK2,1,ANK2,1,NA,0,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
ATP5F1C,ExN,"ANK2,ANO8",2,NA,0,"ANK2,ANO8",2,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
ATP6V1B1,ExN,ANK2,1,NA,0,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
BASP1,ExN,ANK2,1,NA,0,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
C3,ExN,ANK2,1,NA,0,ANK2,1,False,False,False,False,False,False,False,True,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
CACNA2D1,ExN,"ANK2,ANO8",2,NA,0,"ANK2,ANO8",2,False,False,False,False,False,False,False,True,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
CALM2,ExN,ANK2,1,NA,0,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
CAMK2B,NPC,ANK2,1,ANK2,1,NA,0,False,False,False,False,True,True,True,True,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
CAPZA1,Both,"ANK2,MAP1A",2,"ANK2,MAP1A",2,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
CAPZA2,NPC,ANK2,1,ANK2,1,NA,0,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
CAPZB,NPC,ANK2,1,ANK2,1,NA,0,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
CDC73,ExN,ANK2,1,NA,0,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
CEP170,NPC,"ANK2,MAP1A",2,"ANK2,MAP1A",2,MAP1A,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
CKAP4,ExN,ANK2,1,NA,0,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
CNTN1,NPC,ANK2,1,ANK2,1,NA,0,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
COL1A1,Both,ANK2,1,ANK2,1,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
